,Module,Average time/event (ms) at 1000 events
0,event ,647.98
1,explicit ,670.94
2,overhead ,27.44
3,process RECO ,647.98
4,source ,0.26
5,DQMoutput ,0.25
6,DQMoutput_step ,0.25
7,MC_Dqmoffline_v2 ,0.25
8,MC_Tracking_v2 ,0.25
9,MC_prevalidation_v2 ,0.25
10,MC_validation_v2 ,0.25
11,MeasurementTrackerEvent ,1.77
12,PV0p1 ,0.25
13,TrackMon_ckf ,0.25
14,TrackSeedMonhighPtTripletStep ,0.51
15,TrackSeedMoninitialStep ,1.74
16,TrackSplitMonitor ,10.16
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,26.91
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,22.04
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,15.7
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,11.09
21,TriggerResults ,0.25
22,VertexAssociatorByPositionAndTracks ,0.25
23,ak4CaloJetsForTrk ,4.42
24,bunchSpacingProducer ,0.25
25,caloTowerForTrk ,4.51
26,cutsRecoTracksBtvLike ,0.25
27,cutsRecoTracksFromPVHighPtTripletStep ,0.25
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.25
29,cutsRecoTracksFromPVHp ,0.25
30,cutsRecoTracksFromPVInitialStep ,0.25
31,cutsRecoTracksFromPVInitialStepHp ,0.25
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.25
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.25
34,cutsRecoTracksFromPVPt09Hp ,0.25
35,cutsRecoTracksFromPVPt09InitialStep ,0.25
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.25
37,cutsRecoTracksHighPtTripletStep ,0.25
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,0.25
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,0.25
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,0.25
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,0.25
42,cutsRecoTracksHighPtTripletStepHp ,0.25
43,cutsRecoTracksHp ,0.25
44,cutsRecoTracksInitialStep ,0.25
45,cutsRecoTracksInitialStepByAlgoMask ,0.25
46,cutsRecoTracksInitialStepByAlgoMaskHp ,0.25
47,cutsRecoTracksInitialStepByOriginalAlgo ,0.25
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,0.25
49,cutsRecoTracksInitialStepHp ,0.25
50,cutsRecoTracksPt09HighPtTripletStep ,0.25
51,cutsRecoTracksPt09HighPtTripletStepHp ,0.25
52,cutsRecoTracksPt09Hp ,0.25
53,cutsRecoTracksPt09InitialStep ,0.25
54,cutsRecoTracksPt09InitialStepHp ,0.25
55,dqmInfoTracking ,0.25
56,ecalDetIdToBeRecovered ,0.25
57,ecalDigis ,1.26
58,ecalMultiFitUncalibRecHit ,30.58
59,ecalRecHit ,7.04
60,firstStepPrimaryVertices ,0.25
61,firstStepPrimaryVerticesUnsorted ,3.79
62,generalTracks ,0.46
63,generalTracksFromPV ,0.25
64,generalTracksFromPVPt09 ,0.25
65,generalTracksPt09 ,0.25
66,hbhereco ,117.52
67,hcalDigis ,1.96
68,hfprereco ,1.28
69,hfreco ,0.76
70,highPtTripletStepClusters ,0.25
71,highPtTripletStepHitDoublets ,0.64
72,highPtTripletStepHitTriplets ,0.26
73,highPtTripletStepSeedClusterMask ,0.25
74,highPtTripletStepSeedLayers ,0.25
75,highPtTripletStepSeeds ,0.47
76,highPtTripletStepSelector ,0.25
77,highPtTripletStepTrackCandidates ,12.05
78,highPtTripletStepTrackingRegions ,0.25
79,highPtTripletStepTracks ,3.38
80,highPurityPV0p1 ,0.25
81,highPurityPt1 ,0.25
82,highPurityPtRange0to1 ,0.25
83,horeco ,0.25
84,inclusiveSecondaryVertices ,0.25
85,inclusiveVertexFinder ,0.25
86,initialStepHitDoublets ,0.8
87,initialStepHitQuadruplets ,1.16
88,initialStepSeedClusterMask ,0.25
89,initialStepSeedLayers ,0.25
90,initialStepSeeds ,4.84
91,initialStepSelector ,0.25
92,initialStepTrackCandidates ,39.61
93,initialStepTrackRefsForJets ,0.25
94,initialStepTrackingRegions ,0.25
95,initialStepTracks ,23.52
96,muonCSCDigis ,0.25
97,muonDTDigis ,0.25
98,muonGEMDigis ,0.25
99,muonRPCDigis ,0.25
100,muonRPCNewDigis ,0.25
101,offlineBeamSpot ,0.33
102,offlinePrimaryVertices ,0.25
103,offlinePrimaryVerticesWithBS ,0.25
104,primaryVertexResolution ,4.22
105,pvMonitor ,0.25
106,quickTrackAssociatorByHits ,0.25
107,quickTrackAssociatorByHitsPreSplitting ,0.25
108,raw2digi_step ,0.25
109,scalersRawToDigi ,0.25
110,seedTrackshighPtTripletStepSeeds ,0.26
111,seedTracksinitialStepSeeds ,1.86
112,selectedOfflinePrimaryVertices ,0.25
113,selectedOfflinePrimaryVerticesWithBS ,0.25
114,siPhase2Clusters ,0.26
115,siPixelClusterShapeCache ,0.51
116,siPixelClusters ,1.38
117,siPixelClustersPreSplitting ,1.48
118,siPixelRecHits ,0.79
119,siPixelRecHitsPreSplitting ,0.25
120,simHitTPAssocProducer ,2.16
121,tpClusterProducer ,5.26
122,tpClusterProducerPreSplitting ,0.25
123,trackRefsForJetsBeforeSorting ,0.25
124,trackValidatorAllTPEfficStandalone ,11.32
125,trackValidatorBHadronTrackingOnly ,1.08
126,trackValidatorBuilding ,3.72
127,trackValidatorBuildingPreSplitting ,0.25
128,trackValidatorFromPVAllTPStandalone ,7.98
129,trackValidatorFromPVStandalone ,15.29
130,trackValidatorSeedingPreSplittingTrackingOnly ,0.25
131,trackValidatorSeedingTrackingOnly ,10.63
132,trackValidatorTPPtLess09Standalone ,6.64
133,trackValidatorTrackingOnly ,25.67
134,trackVertexArbitrator ,0.25
135,trackWithVertexRefSelectorBeforeSorting ,0.25
136,trackerClusterCheck ,0.25
137,trackingDQMgoodOfflinePrimaryVertices ,0.25
138,trackingParticleNumberOfLayersProducer ,6.43
139,trackingParticleRecoTrackAsssociation ,0.95
140,trackingParticlesBHadron ,197.53
141,trackingParticlesConversion ,0.25
142,trackingParticlesElectron ,0.25
143,trackingParticlesSignal ,0.25
144,unsortedOfflinePrimaryVertices ,9.26
145,v0Validator ,0.25
146,vertexAnalysisTrackingOnly ,1.77
147,vertexMerger ,0.25
